n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
10, 10, 10, RR, 0.027, 19.761, 19.769, 25.362, 25.389, 31.231, 
10, 10, 10, FCFS, 0.038, 13.540, 13.557, 13.958, 13.977, 36.129, 
10, 10, 100, RR, 0.053, 37.345, 37.369, 43.127, 43.154, 53.557, 
10, 10, 100, FCFS, 0.061, 28.489, 28.509, 32.366, 32.390, 32.881, 
10, 10, 1000, RR, 0.029, 26.671, 26.680, 41.537, 41.543, 55.016, 
10, 10, 1000, FCFS, 0.023, 9.180, 9.182, 9.719, 10.004, 29.014, 
10, 10, 10000, RR, 0.021, 25.165, 25.171, 30.444, 30.448, 36.145, 
10, 10, 10000, FCFS, 0.022, 8.449, 8.452, 29.034, 29.056, 30.459, 
10, 10, 100000, RR, 0.015, 36.071, 36.181, 50.482, 60.587, 88.813, 
10, 10, 100000, FCFS, 0.073, 13.125, 13.132, 13.536, 13.538, 34.522, 
10, 10, 1000000, RR, 0.040, 37.930, 37.935, 48.811, 84.455, 213.729, 
10, 10, 1000000, FCFS, 0.018, 25.657, 25.678, 26.037, 26.040, 148.879, 
10, 100, 10, RR, 0.013, 27.897, 27.903, 41.464, 41.469, 47.702, 
10, 100, 10, FCFS, 0.049, 10.482, 10.503, 30.247, 30.323, 35.909, 
10, 100, 100, RR, 0.016, 23.446, 23.451, 29.095, 29.122, 36.940, 
10, 100, 100, FCFS, 0.022, 25.853, 25.858, 33.261, 33.267, 33.550, 
10, 100, 1000, RR, 0.027, 49.025, 49.048, 65.197, 65.222, 71.007, 
10, 100, 1000, FCFS, 0.051, 36.262, 36.283, 36.754, 36.756, 37.014, 
10, 100, 10000, RR, 0.068, 25.684, 25.691, 55.484, 55.491, 62.142, 
10, 100, 10000, FCFS, 0.031, 39.473, 39.480, 44.192, 44.212, 45.758, 
10, 100, 100000, RR, 0.495, 47.710, 47.734, 54.462, 57.146, 81.792, 
10, 100, 100000, FCFS, 0.077, 42.427, 42.449, 45.458, 45.461, 62.603, 
10, 100, 1000000, RR, 0.086, 39.272, 39.295, 44.927, 177.781, 360.968, 
10, 100, 1000000, FCFS, 0.033, 22.919, 22.940, 32.557, 32.577, 183.324, 
10, 1000, 10, RR, 0.017, 29.602, 35.583, 58.786, 47.537, 53.415, 
10, 1000, 10, FCFS, 0.063, 34.224, 34.246, 39.929, 39.950, 56.501, 
10, 1000, 100, RR, 0.019, 24.387, 36.941, 52.831, 39.037, 45.195, 
