n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
10, 10, 10, RR, 0.019, 133.138, 133.163, 252.932, 252.938, 357.817, 
10, 10, 100, RR, 0.013, 127.194, 127.218, 229.704, 229.711, 337.564, 
10, 10, 1000, RR, 0.016, 173.519, 173.539, 290.183, 290.189, 478.827, 
10, 10, 10000, RR, 0.018, 116.399, 116.404, 217.038, 217.046, 317.769, 
10, 10, 100000, RR, 0.016, 124.822, 124.849, 225.024, 225.031, 325.818, 
10, 10, 1000000, RR, 0.016, 128.624, 128.656, 234.020, 239.942, 446.085, 
10, 100, 10, RR, 0.029, 116.488, 116.495, 216.685, 216.691, 317.789, 
10, 100, 100, RR, 0.022, 155.698, 155.703, 272.255, 272.263, 373.205, 
10, 100, 1000, RR, 0.015, 124.674, 124.679, 232.958, 232.964, 335.315, 
10, 100, 10000, RR, 0.030, 140.155, 140.166, 248.920, 248.929, 365.502, 
10, 100, 100000, RR, 0.041, 115.826, 115.832, 223.740, 223.746, 332.079, 
10, 100, 1000000, RR, 0.013, 128.322, 128.365, 237.030, 245.086, 446.245, 
10, 1000, 10, RR, 0.059, 112.173, 112.183, 212.454, 212.460, 313.561, 
10, 1000, 100, RR, 0.017, 110.304, 110.332, 222.154, 222.161, 325.943, 
10, 1000, 1000, RR, 0.014, 121.387, 121.414, 244.048, 244.054, 376.654, 
10, 1000, 10000, RR, 0.074, 213.696, 213.701, 314.361, 314.368, 528.732, 
10, 1000, 100000, RR, 0.018, 198.352, 198.362, 302.430, 302.436, 475.834, 
10, 1000, 1000000, RR, 0.058, 123.888, 123.894, 234.465, 243.048, 443.416, 
10, 10000, 10, RR, 0.051, 375.970, 375.980, 553.086, 553.092, 654.582, 
10, 10000, 100, RR, 0.018, 129.153, 129.159, 230.288, 230.294, 332.312, 
10, 10000, 1000, RR, 0.013, 112.374, 112.391, 213.497, 213.504, 323.395, 
10, 10000, 10000, RR, 0.015, 127.024, 127.036, 232.015, 232.022, 332.348, 
10, 10000, 100000, RR, 0.034, 151.637, 151.643, 254.500, 254.510, 354.794, 
10, 10000, 1000000, RR, 0.101, 121.096, 121.109, 235.958, 239.551, 439.907, 
10, 100000, 10, RR, 0.015, 110.926, 217.431, 520.708, 211.138, 313.741, 
10, 100000, 100, RR, 0.013, 103.808, 215.419, 550.427, 204.296, 304.992, 
10, 100000, 1000, RR, 0.019, 129.993, 233.356, 538.276, 233.318, 334.036, 
10, 100000, 10000, RR, 0.013, 137.408, 279.945, 583.727, 253.526, 365.437, 
10, 100000, 100000, RR, 0.029, 139.292, 247.359, 552.427, 240.843, 341.919, 
10, 100000, 1000000, RR, 0.018, 154.249, 383.147, 690.510, 365.845, 583.420, 
10, 1000000, 10, RR, 0.017, 128.154, 412.211, 3064.361, 232.074, 340.036, 
10, 1000000, 100, RR, 0.012, 133.241, 426.666, 3169.636, 233.614, 354.607, 
10, 1000000, 1000, RR, 0.015, 110.144, 416.767, 3177.735, 210.945, 311.207, 
10, 1000000, 10000, RR, 0.027, 134.975, 439.342, 3161.267, 244.091, 350.611, 
10, 1000000, 100000, RR, 0.044, 128.807, 414.870, 3300.888, 229.119, 334.154, 
10, 1000000, 1000000, RR, 0.020, 132.538, 544.388, 3269.322, 345.332, 548.851, 
100, 10, 10, RR, 0.039, 136.065, 136.071, 237.436, 237.442, 338.940, 
100, 10, 100, RR, 0.013, 123.557, 123.599, 235.971, 235.977, 339.542, 
100, 10, 1000, RR, 0.038, 114.357, 114.470, 215.029, 215.035, 317.137, 
100, 10, 10000, RR, 0.014, 130.691, 130.696, 233.750, 233.756, 348.218, 
100, 10, 100000, RR, 0.015, 135.960, 135.966, 236.228, 236.234, 337.422, 
100, 10, 1000000, RR, 0.089, 109.861, 110.011, 210.352, 219.680, 458.354, 
100, 100, 10, RR, 0.024, 115.330, 115.340, 215.595, 215.602, 315.866, 
100, 100, 100, RR, 0.014, 123.986, 123.997, 224.776, 224.782, 327.391, 
100, 100, 1000, RR, 0.016, 121.069, 121.077, 224.226, 224.232, 357.717, 
100, 100, 10000, RR, 0.015, 143.133, 143.166, 243.688, 243.693, 346.911, 
